id,title,description,availability,condition,price,link,image_link,brand
Y002,YouTube Views (1K),1K views on your YouTube video. Send the video link when ordering. (Code: Y002),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y003,YouTube Likes (1K),1K likes on your YouTube video. Send the video link when ordering. (Code: Y003),in stock,new,3500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y004,YouTube Shares (1K),1K shares on your YouTube video. Send the video link when ordering. (Code: Y004),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y005,YouTube Starter,100 Subs + 500 Views + 200 Likes in one order. (Code: Y005),in stock,new,5000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y006,YouTube Growth,300 Subs + 1K Views + 500 Likes in one order. (Code: Y006),in stock,new,10000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
Y007,YouTube Pro,700 Subs + 3K Views + 1K Likes in one order. (Code: Y007),in stock,new,22000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X001,Twitter Followers (1K),1K followers delivered to your Twitter X account. Send your handle when ordering. (Code: X001),in stock,new,16000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X002,Twitter Likes (1K),1K likes on your X post. Send the post link when ordering. (Code: X002),in stock,new,9000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X003,Twitter Retweets (1K),1K retweets on your X post. Send the post link when ordering. (Code: X003),in stock,new,2500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X004,Twitter Starter,200 Followers + 300 Likes + 100 Retweets in one order. (Code: X004),in stock,new,8000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X005,Twitter Growth,500 Followers + 700 Likes + 300 Retweets in one order. (Code: X005),in stock,new,16000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
X006,Twitter Pro,1K Followers + 1.5K Likes + 700 Retweets in one order. (Code: X006),in stock,new,30000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F001,Facebook Followers (1K),1K followers delivered to your Facebook page or profile. (Code: F001),in stock,new,10000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F002,Facebook Likes (1K),1K likes on your Facebook post or page. (Code: F002),in stock,new,9000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F003,Facebook Views (1K),1K views on your Facebook video. (Code: F003),in stock,new,6000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F004,Facebook Starter,200 Followers + 300 Likes + 1K Views in one order. (Code: F004),in stock,new,11000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F005,Facebook Growth,500 Followers + 700 Likes + 3K Views in one order. (Code: F005),in stock,new,26000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
F006,Facebook Pro,1K Followers + 1.5K Likes + 5K Views in one order. (Code: F006),in stock,new,46000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TG001,Telegram Members (1K),1K members added to your Telegram channel or group. (Code: TG001),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TG002,Telegram Views (1K),1K views and reactions on your Telegram posts. (Code: TG002),in stock,new,2500 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TG003,Telegram Starter,200 Members + 500 Views in one order. (Code: TG003),in stock,new,3000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TG004,Telegram Growth,500 Members + 1K Views in one order. (Code: TG004),in stock,new,6000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TG005,Telegram Pro,1K Members + 2K Views in one order. (Code: TG005),in stock,new,10000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TR001,Website Traffic (1K),1K visits driven to your website. Send your website link when ordering. (Code: TR001),in stock,new,6000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TR002,Traffic Starter (500),500 visits driven to your website. (Code: TR002),in stock,new,4000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TR003,Traffic Growth (1K),1K visits driven to your website. (Code: TR003),in stock,new,7000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
TR004,Traffic Pro (3K),3K visits driven to your website. Best for launches and promos. (Code: TR004),in stock,new,16000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
B001,Starter Bundle,Starter package on any 2 platforms of your choice. Tell us which platforms when ordering. (Code: B001),in stock,new,15000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
B002,Growth Bundle,Growth package on any 2 platforms of your choice. Tell us which platforms when ordering. (Code: B002),in stock,new,28000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
B003,Pro Bundle,Pro package on any 3 platforms of your choice. Tell us which platforms when ordering. (Code: B003),in stock,new,65000 NGN,https://wa.me/REPLACE_WITH_BOT_NUMBER,,Paragon Hub
